person_a,person_a_role,person_b,person_b_role,year,country,identifier
Lys Assia,artist,Géo Voumard,composers,1956,CH,1956_CH
Lys Assia,artist,Émile Gardaz,lyricists,1956,CH,1956_CH
Géo Voumard,composers,Émile Gardaz,lyricists,1956,CH,1956_CH
Jetty Paerl,artist,Cor Lemaire,composers,1956,NL,1956_NL
Jetty Paerl,artist,Annie M. G. Schmidt,lyricists,1956,NL,1956_NL
Cor Lemaire,composers,Annie M. G. Schmidt,lyricists,1956,NL,1956_NL
Lys Assia,artist,George Betz-Stahl,writers,1956,CH,1956_CH
Fud Leclerc,artist,Jean Miret,composers,1956,BE,1956_BE
Fud Leclerc,artist,Robert Montal,lyricists,1956,BE,1956_BE
Jean Miret,composers,Robert Montal,lyricists,1956,BE,1956_BE
Walter Andreas Schwarz,artist,Walter Andreas Schwarz,writers,1956,DE,1956_DE
Mathé Altéry,artist,André Lodge,composers,1956,FR,1956_FR
Mathé Altéry,artist,Rachèle Thoreau,lyricists,1956,FR,1956_FR
André Lodge,composers,Rachèle Thoreau,lyricists,1956,FR,1956_FR
Michèle Arnaud,artist,Christian Guitreau,writers,1956,LU,1956_LU
Franca Raimondi,artist,Virgilio Panzuti,composers,1956,IT,1956_IT
Franca Raimondi,artist,Pinchi,lyricists,1956,IT,1956_IT
Virgilio Panzuti,composers,Pinchi,lyricists,1956,IT,1956_IT
Corry Brokken,artist,Jelle de Vries,writers,1956,NL,1956_NL
Mony Marc,artist,Claude Alix,composers,1956,BE,1956_BE
Mony Marc,artist,David Bee,lyricists,1956,BE,1956_BE
Claude Alix,composers,David Bee,lyricists,1956,BE,1956_BE
Freddy Quinn,artist,Lothar Olias,composers,1956,DE,1956_DE
Freddy Quinn,artist,Peter Mösser,lyricists,1956,DE,1956_DE
Lothar Olias,composers,Peter Mösser,lyricists,1956,DE,1956_DE
Dany Dauberson,artist,Simone Vallauris,writers,1956,FR,1956_FR
Michèle Arnaud,artist,Simone Laurencin,composers,1956,LU,1956_LU
Michèle Arnaud,artist,Jacques Lassry,lyricists,1956,LU,1956_LU
Simone Laurencin,composers,Jacques Lassry,lyricists,1956,LU,1956_LU
Tonina Torielli,artist,Vittorio Mascheroni,composers,1956,IT,1956_IT
Tonina Torielli,artist,Mario Panzeri,lyricists,1956,IT,1956_IT
Vittorio Mascheroni,composers,Mario Panzeri,lyricists,1956,IT,1956_IT
Corry Brokken,artist,Guus Jansen,composers,1957,NL,1957_NL
Corry Brokken,artist,Willy van Hemert,lyricists,1957,NL,1957_NL
Corry Brokken,artist,Sem Nijveen,backings,1957,NL,1957_NL
Guus Jansen,composers,Willy van Hemert,lyricists,1957,NL,1957_NL
Guus Jansen,composers,Sem Nijveen,backings,1957,NL,1957_NL
Willy van Hemert,lyricists,Sem Nijveen,backings,1957,NL,1957_NL
Paule Desjardins,artist,Guy Lafarge,composers,1957,FR,1957_FR
Paule Desjardins,artist,Francis Carco,lyricists,1957,FR,1957_FR
Guy Lafarge,composers,Francis Carco,lyricists,1957,FR,1957_FR
Birthe Wilke & Gustav Winckler,artist,Erik Fiehn,composers,1957,DK,1957_DK
Birthe Wilke & Gustav Winckler,artist,Poul Sørensen,lyricists,1957,DK,1957_DK
Erik Fiehn,composers,Poul Sørensen,lyricists,1957,DK,1957_DK
Danièle Dupré,artist,Jean-Pierre Kemmer,composers,1957,LU,1957_LU
Danièle Dupré,artist,Jacques Taber,lyricists,1957,LU,1957_LU
Jean-Pierre Kemmer,composers,Jacques Taber,lyricists,1957,LU,1957_LU
Margot Hielscher,artist,Friedrich Meyer,composers,1957,DE,1957_DE
Margot Hielscher,artist,Ralph Maria Siegel,lyricists,1957,DE,1957_DE
Friedrich Meyer,composers,Ralph Maria Siegel,lyricists,1957,DE,1957_DE
Nunzio Gallo,artist,Mario Ruccione,composers,1957,IT,1957_IT
Nunzio Gallo,artist,Giuseppe Fiorelli,lyricists,1957,IT,1957_IT
Nunzio Gallo,artist,Piero Gozio,backings,1957,IT,1957_IT
Mario Ruccione,composers,Giuseppe Fiorelli,lyricists,1957,IT,1957_IT
Mario Ruccione,composers,Piero Gozio,backings,1957,IT,1957_IT
Giuseppe Fiorelli,lyricists,Piero Gozio,backings,1957,IT,1957_IT
Patricia Bredin,artist,Reynell Wreford,composers,1957,GB,1957_GB
Patricia Bredin,artist,Alan Stranks,lyricists,1957,GB,1957_GB
Reynell Wreford,composers,Alan Stranks,lyricists,1957,GB,1957_GB
Bobbejaan Schoepen,artist,Harry Frékin,composers,1957,BE,1957_BE
Bobbejaan Schoepen,artist,Eric Franssen,lyricists,1957,BE,1957_BE
Harry Frékin,composers,Eric Franssen,lyricists,1957,BE,1957_BE
Lys Assia,artist,Géo Voumard,composers,1957,CH,1957_CH
Lys Assia,artist,Émile Gardaz,lyricists,1957,CH,1957_CH
Géo Voumard,composers,Émile Gardaz,lyricists,1957,CH,1957_CH
Bob Martin,artist,Kurt Svab,composers,1957,AT,1957_AT
Bob Martin,artist,Kurt Svab,lyricists,1957,AT,1957_AT
Kurt Svab,composers,Kurt Svab,lyricists,1957,AT,1957_AT
André Claveau,artist,Pierre Delanoë,composers,1958,FR,1958_FR
André Claveau,artist,Hubert Giraud,lyricists,1958,FR,1958_FR
Pierre Delanoë,composers,Hubert Giraud,lyricists,1958,FR,1958_FR
Lys Assia,artist,Paul Burkhard,composers,1958,CH,1958_CH
Lys Assia,artist,Fridolin Tschudi,lyricists,1958,CH,1958_CH
Paul Burkhard,composers,Fridolin Tschudi,lyricists,1958,CH,1958_CH
Domenico Modugno,artist,Domenico Modugno,composers,1958,IT,1958_IT
Domenico Modugno,artist,Franco Migliacci,lyricists,1958,IT,1958_IT
Domenico Modugno,composers,Franco Migliacci,lyricists,1958,IT,1958_IT
Alice Babs,artist,Åke Gerhard,composers,1958,SE,1958_SE
Alice Babs,artist,Gunnar Wersén,lyricists,1958,SE,1958_SE
Åke Gerhard,composers,Gunnar Wersén,lyricists,1958,SE,1958_SE
Fud Leclerc,artist,André Dohet,writers,1958,BE,1958_BE
Liane Augustin,artist,Kurt Werner,writers,1958,AT,1958_AT
Margot Hielscher,artist,Friedrich Meyer,composers,1958,DE,1958_DE
Margot Hielscher,artist,Walter Brandin,lyricists,1958,DE,1958_DE
Friedrich Meyer,composers,Walter Brandin,lyricists,1958,DE,1958_DE
Raquel Rastenni,artist,Sven Ulrik,writers,1958,DK,1958_DK
Corry Brokken,artist,Benny Vreden,writers,1958,NL,1958_NL
Solange Berry,artist,Michel Eric,composers,1958,LU,1958_LU
Solange Berry,artist,Raymond Roche,lyricists,1958,LU,1958_LU
Michel Eric,composers,Raymond Roche,lyricists,1958,LU,1958_LU
Teddy Scholten,artist,Dick Schallies,composers,1959,NL,1959_NL
Teddy Scholten,artist,Willy van Hemert,lyricists,1959,NL,1959_NL
Dick Schallies,composers,Willy van Hemert,lyricists,1959,NL,1959_NL
Pearl Carr & Teddy Johnson,artist,Stan Butcher,composers,1959,GB,1959_GB
Pearl Carr & Teddy Johnson,artist,Syd Cordell,lyricists,1959,GB,1959_GB
Stan Butcher,composers,Syd Cordell,lyricists,1959,GB,1959_GB
Jean Philippe,artist,Hubert Giraud,composers,1959,FR,1959_FR
Jean Philippe,artist,Pierre Cour,lyricists,1959,FR,1959_FR
Hubert Giraud,composers,Pierre Cour,lyricists,1959,FR,1959_FR
Christa Williams,artist,Lothar Löffler,writers,1959,CH,1959_CH
Birthe Wilke,artist,Otto Lington,composers,1959,DK,1959_DK
Birthe Wilke,artist,Carl Andersen,lyricists,1959,DK,1959_DK
Otto Lington,composers,Carl Andersen,lyricists,1959,DK,1959_DK
Domenico Modugno,artist,Domenico Modugno,composers,1959,IT,1959_IT
Domenico Modugno,artist,Dino Verde,lyricists,1959,IT,1959_IT
Domenico Modugno,composers,Dino Verde,lyricists,1959,IT,1959_IT
Bob Benny,artist,Hans Flower,composers,1959,BE,1959_BE
Bob Benny,artist,Ke Riema,lyricists,1959,BE,1959_BE
Hans Flower,composers,Ke Riema,lyricists,1959,BE,1959_BE
Alice and Ellen Kessler,artist,Helmut Zander,composers,1959,DE,1959_DE
Alice and Ellen Kessler,artist,Astrid Voltmann,lyricists,1959,DE,1959_DE
Helmut Zander,composers,Astrid Voltmann,lyricists,1959,DE,1959_DE
Brita Borg,artist,Harry Sandin,composers,1959,SE,1959_SE
Brita Borg,artist,Åke Gerhard,lyricists,1959,SE,1959_SE
Harry Sandin,composers,Åke Gerhard,lyricists,1959,SE,1959_SE
Ferry Graf,artist,Norbert Pawlicki,composers,1959,AT,1959_AT
Ferry Graf,artist,Günther Leopold,lyricists,1959,AT,1959_AT
Norbert Pawlicki,composers,Günther Leopold,lyricists,1959,AT,1959_AT
Jacques Pills,artist,Florence Veran,composers,1959,MC,1959_MC
Jacques Pills,artist,Raymond Bravard,lyricists,1959,MC,1959_MC
Florence Veran,composers,Raymond Bravard,lyricists,1959,MC,1959_MC
Jacqueline Boyer,artist,André Popp,composers,1960,FR,1960_FR
Jacqueline Boyer,artist,Pierre Cour,lyricists,1960,FR,1960_FR
André Popp,composers,Pierre Cour,lyricists,1960,FR,1960_FR
Bryan Johnson,artist,John Watson,writers,1960,GB,1960_GB
François Deguelt,artist,Hubert Giraud,composers,1960,MC,1960_MC
François Deguelt,artist,Pierre Dorsey,lyricists,1960,MC,1960_MC
Hubert Giraud,composers,Pierre Dorsey,lyricists,1960,MC,1960_MC
Nora Brockstedt,artist,Georg Elgaaen,writers,1960,NO,1960_NO
Wyn Hoop,artist,Franz Josef Breuer,composers,1960,DE,1960_DE
Wyn Hoop,artist,Kurt Schwabach,lyricists,1960,DE,1960_DE
Franz Josef Breuer,composers,Kurt Schwabach,lyricists,1960,DE,1960_DE
Fud Leclerc,artist,Jack Say,composers,1960,BE,1960_BE
Fud Leclerc,artist,Robert Montal,lyricists,1960,BE,1960_BE
Jack Say,composers,Robert Montal,lyricists,1960,BE,1960_BE
Harry Winter,artist,Robert Stolz,composers,1960,AT,1960_AT
Harry Winter,artist,Robert Gilbert,lyricists,1960,AT,1960_AT
Robert Stolz,composers,Robert Gilbert,lyricists,1960,AT,1960_AT
Anita Traversi,artist,Mario Robbiani,writers,1960,CH,1960_CH
Renato Rascel,artist,Dino Verde,composers,1960,IT,1960_IT
Renato Rascel,artist,Renato Rascel,lyricists,1960,IT,1960_IT
Dino Verde,composers,Renato Rascel,lyricists,1960,IT,1960_IT
Siw Malmkvist,artist,Ulf Kjellqvist,composers,1960,SE,1960_SE
Siw Malmkvist,artist,Åke Gerhard,lyricists,1960,SE,1960_SE
Ulf Kjellqvist,composers,Åke Gerhard,lyricists,1960,SE,1960_SE
Katy Bødtger,artist,Vilfred Kjær,composers,1960,DK,1960_DK
Katy Bødtger,artist,Sven Buemann,lyricists,1960,DK,1960_DK
Vilfred Kjær,composers,Sven Buemann,lyricists,1960,DK,1960_DK
Rudi Carrell,artist,Dick Schallies,composers,1960,NL,1960_NL
Rudi Carrell,artist,Willy van Hemert,lyricists,1960,NL,1960_NL
Dick Schallies,composers,Willy van Hemert,lyricists,1960,NL,1960_NL
Camillo Felgen,artist,Jean Roderes,composers,1960,LU,1960_LU
Camillo Felgen,artist,Henri Moots,lyricists,1960,LU,1960_LU
Jean Roderes,composers,Henri Moots,lyricists,1960,LU,1960_LU
Jean,artist,Jacques Datin,composers,1961,LU,1961_LU
Jean,artist,Maurice Vidalin,lyricists,1961,LU,1961_LU
Jacques Datin,composers,Maurice Vidalin,lyricists,1961,LU,1961_LU
The Allisons,artist,John Allison,writers,1961,GB,1961_GB
Franca di Rienzo,artist,Géo Voumard,composers,1961,CH,1961_CH
Franca di Rienzo,artist,Émile Gardaz,lyricists,1961,CH,1961_CH
Géo Voumard,composers,Émile Gardaz,lyricists,1961,CH,1961_CH
Jean,artist,Francis Baxter,composers,1961,FR,1961_FR
Jean,artist,Guy Favereau,lyricists,1961,FR,1961_FR
Francis Baxter,composers,Guy Favereau,lyricists,1961,FR,1961_FR
Dario Campeotto,artist,Aksel V. Rasmussen,writers,1961,DK,1961_DK
Betty Curtis,artist,Carlo Donida,composers,1961,IT,1961_IT
Betty Curtis,artist,Mogol,lyricists,1961,IT,1961_IT
Carlo Donida,composers,Mogol,lyricists,1961,IT,1961_IT
Nora Brockstedt,artist,Jan Wølner,composers,1961,NO,1961_NO
Nora Brockstedt,artist,Egil Hagen,lyricists,1961,NO,1961_NO
Jan Wølner,composers,Egil Hagen,lyricists,1961,NO,1961_NO
Ljiljana Petrović,artist,Jože Privšek,composers,1961,YU,1961_YU
Ljiljana Petrović,artist,Miroslav Antić,lyricists,1961,YU,1961_YU
Jože Privšek,composers,Miroslav Antić,lyricists,1961,YU,1961_YU
Conchita Bautista,artist,Augusto Algueró,composers,1961,ES,1961_ES
Conchita Bautista,artist,Antonio Guijarro,lyricists,1961,ES,1961_ES
Augusto Algueró,composers,Antonio Guijarro,lyricists,1961,ES,1961_ES
Colette Deréal,artist,Hubert Giraud,composers,1961,MC,1961_MC
Colette Deréal,artist,Pierre Delanoë,lyricists,1961,MC,1961_MC
Hubert Giraud,composers,Pierre Delanoë,lyricists,1961,MC,1961_MC
Laila Kinnunen,artist,Eino Hurme,composers,1961,FI,1961_FI
Laila Kinnunen,artist,Sauvo Puhtila,lyricists,1961,FI,1961_FI
Eino Hurme,composers,Sauvo Puhtila,lyricists,1961,FI,1961_FI
Greetje Kauffeld,artist,Dick Schallies,composers,1961,NL,1961_NL
Greetje Kauffeld,artist,Pieter Goemans,lyricists,1961,NL,1961_NL
Dick Schallies,composers,Pieter Goemans,lyricists,1961,NL,1961_NL
Lale Andersen,artist,Rudolf Maluck,composers,1961,DE,1961_DE
Lale Andersen,artist,Ernst Bader,lyricists,1961,DE,1961_DE
Rudolf Maluck,composers,Ernst Bader,lyricists,1961,DE,1961_DE
Lill,artist,Bobbie Ericsson,composers,1961,SE,1961_SE
Lill,artist,Bo Eneby,lyricists,1961,SE,1961_SE
Bobbie Ericsson,composers,Bo Eneby,lyricists,1961,SE,1961_SE
Jimmy Makulis,artist,Leopold Andrejewitsch,writers,1961,AT,1961_AT
Bob Benny,artist,Hans Flower,composers,1961,BE,1961_BE
Bob Benny,artist,Wim Brabants,lyricists,1961,BE,1961_BE
Hans Flower,composers,Wim Brabants,lyricists,1961,BE,1961_BE
Isabelle Aubret,artist,Claude-Henri Vic,composers,1962,FR,1962_FR
Isabelle Aubret,artist,Roland Stephane Valade,lyricists,1962,FR,1962_FR
Claude-Henri Vic,composers,Roland Stephane Valade,lyricists,1962,FR,1962_FR
François Deguelt,artist,Henri Salvador,composers,1962,MC,1962_MC
François Deguelt,artist,René Rouzaud,lyricists,1962,MC,1962_MC
Henri Salvador,composers,René Rouzaud,lyricists,1962,MC,1962_MC
Camillo Felgen,artist,Jacques Datin,composers,1962,LU,1962_LU
Camillo Felgen,artist,Maurice Vidalin,lyricists,1962,LU,1962_LU
Jacques Datin,composers,Maurice Vidalin,lyricists,1962,LU,1962_LU
Lola Novaković,artist,Jože Privšek,composers,1962,YU,1962_YU
Lola Novaković,artist,Dragutin Britvić,lyricists,1962,YU,1962_YU
Jože Privšek,composers,Dragutin Britvić,lyricists,1962,YU,1962_YU
Ronnie Carroll,artist,Syd Cordell,composers,1962,GB,1962_GB
Ronnie Carroll,artist,Stan Butcher,lyricists,1962,GB,1962_GB
Syd Cordell,composers,Stan Butcher,lyricists,1962,GB,1962_GB
Conny Froboess,artist,Christian Bruhn,composers,1962,DE,1962_DE
Conny Froboess,artist,Georg Buschor,lyricists,1962,DE,1962_DE
Christian Bruhn,composers,Georg Buschor,lyricists,1962,DE,1962_DE
Marion Rung,artist,Kari Tuomisaari,writers,1962,FI,1962_FI
Inger Berggren,artist,Ulf Kjellqvist,writers,1962,SE,1962_SE
Claudio Villa,artist,Domenico Modugno,composers,1962,IT,1962_IT
Claudio Villa,artist,Franco Migliacci,lyricists,1962,IT,1962_IT
Domenico Modugno,composers,Franco Migliacci,lyricists,1962,IT,1962_IT
Ellen Winther,artist,Kjeld Bonfils,composers,1962,DK,1962_DK
Ellen Winther,artist,Sejr Volmer-Sørensen,lyricists,1962,DK,1962_DK
Kjeld Bonfils,composers,Sejr Volmer-Sørensen,lyricists,1962,DK,1962_DK
Inger Jacobsen,artist,Kjell Karlsen,composers,1962,NO,1962_NO
Inger Jacobsen,artist,Ivar Andersen,lyricists,1962,NO,1962_NO
Kjell Karlsen,composers,Ivar Andersen,lyricists,1962,NO,1962_NO
Jean Philippe,artist,Géo Voumard,composers,1962,CH,1962_CH
Jean Philippe,artist,Émile Gardaz,lyricists,1962,CH,1962_CH
Géo Voumard,composers,Émile Gardaz,lyricists,1962,CH,1962_CH
Fud Leclerc,artist,Eric Channe,composers,1962,BE,1962_BE
Fud Leclerc,artist,Tony Golan,lyricists,1962,BE,1962_BE
Eric Channe,composers,Tony Golan,lyricists,1962,BE,1962_BE
Victor Balaguer,artist,Mario Selles,composers,1962,ES,1962_ES
Victor Balaguer,artist,Miguel Portoles,lyricists,1962,ES,1962_ES
Mario Selles,composers,Miguel Portoles,lyricists,1962,ES,1962_ES
Eleonore Schwarz,artist,Bruno Uher,writers,1962,AT,1962_AT
De Spelbrekers,artist,Joop Stokkermans,composers,1962,NL,1962_NL
De Spelbrekers,artist,Henny Hamhuis,lyricists,1962,NL,1962_NL
Joop Stokkermans,composers,Henny Hamhuis,lyricists,1962,NL,1962_NL
Grethe & Jørgen Ingmann,artist,Otto Francker,composers,1963,DK,1963_DK
Grethe & Jørgen Ingmann,artist,Sejr Volmer-Sørensen,lyricists,1963,DK,1963_DK
Otto Francker,composers,Sejr Volmer-Sørensen,lyricists,1963,DK,1963_DK
Esther Ofarim,artist,Géo Voumard,composers,1963,CH,1963_CH
Esther Ofarim,artist,Émile Gardaz,lyricists,1963,CH,1963_CH
Géo Voumard,composers,Émile Gardaz,lyricists,1963,CH,1963_CH
Emilio Pericoli,artist,Tony Renis,composers,1963,IT,1963_IT
Emilio Pericoli,artist,Mogol,lyricists,1963,IT,1963_IT
Tony Renis,composers,Mogol,lyricists,1963,IT,1963_IT
Ronnie Carroll,artist,Philip Green,composers,1963,GB,1963_GB
Ronnie Carroll,artist,Norman Newell,lyricists,1963,GB,1963_GB
Philip Green,composers,Norman Newell,lyricists,1963,GB,1963_GB
Alain Barrière,artist,Alain Barrière,writers,1963,FR,1963_FR
Françoise Hardy,artist,Françoise Hardy,writers,1963,MC,1963_MC
Carmela Corren,artist,Erwin Halletz,composers,1963,AT,1963_AT
Carmela Corren,artist,Peter Wehle,lyricists,1963,AT,1963_AT
Erwin Halletz,composers,Peter Wehle,lyricists,1963,AT,1963_AT
Nana Mouskouri,artist,Raymond Bernard,composers,1963,LU,1963_LU
Nana Mouskouri,artist,Pierre Delanoë,lyricists,1963,LU,1963_LU
Raymond Bernard,composers,Pierre Delanoë,lyricists,1963,LU,1963_LU
Heidi Brühl,artist,Charly Niessen,writers,1963,DE,1963_DE
Jacques Raymond,artist,Hans Flower,composers,1963,BE,1963_BE
Jacques Raymond,artist,Wim Brabants,lyricists,1963,BE,1963_BE
Hans Flower,composers,Wim Brabants,lyricists,1963,BE,1963_BE
Vice Vukov,artist,Mario Nardelli,writers,1963,YU,1963_YU
José Guardiola,artist,Fernando García Morcillo,composers,1963,ES,1963_ES
José Guardiola,artist,Camillo Murillo Janero,lyricists,1963,ES,1963_ES
Fernando García Morcillo,composers,Camillo Murillo Janero,lyricists,1963,ES,1963_ES
Annie Palmen,artist,Pieter Goemans,writers,1963,NL,1963_NL
Anita Thallaug,artist,Dag Kristoffersen,writers,1963,NO,1963_NO
Laila Halme,artist,Börje Sundgren,writers,1963,FI,1963_FI
Monica Zetterlund,artist,Bobbie Ericsson,composers,1963,SE,1963_SE
Monica Zetterlund,artist,Beppe Wolgers,lyricists,1963,SE,1963_SE
Bobbie Ericsson,composers,Beppe Wolgers,lyricists,1963,SE,1963_SE
Gigliola Cinquetti,artist,Nicola Salerno,composers,1964,IT,1964_IT
Gigliola Cinquetti,artist,Mario Panzeri,lyricists,1964,IT,1964_IT
Nicola Salerno,composers,Mario Panzeri,lyricists,1964,IT,1964_IT
Matt Monro,artist,Tony Hatch,writers,1964,GB,1964_GB
Romuald,artist,Francis Lai,composers,1964,MC,1964_MC
Romuald,artist,Pierre Barouh,lyricists,1964,MC,1964_MC
Francis Lai,composers,Pierre Barouh,lyricists,1964,MC,1964_MC
Hugues Aufray,artist,Hugues Aufray,composers,1964,LU,1964_LU
Hugues Aufray,artist,Jacques Plante,lyricists,1964,LU,1964_LU
Hugues Aufray,composers,Jacques Plante,lyricists,1964,LU,1964_LU
Rachel,artist,André Popp,composers,1964,FR,1964_FR
Rachel,artist,Pierre Cour,lyricists,1964,FR,1964_FR
André Popp,composers,Pierre Cour,lyricists,1964,FR,1964_FR
Udo Jürgens,artist,Udo Jürgens,writers,1964,AT,1964_AT
Lasse Mårtenson,artist,Lasse Mårtenson,composers,1964,FI,1964_FI
Lasse Mårtenson,artist,Sauvo Puhtila,lyricists,1964,FI,1964_FI
Lasse Mårtenson,composers,Sauvo Puhtila,lyricists,1964,FI,1964_FI
Arne Bendiksen,artist,Sigurd Jansen,composers,1964,NO,1964_NO
Arne Bendiksen,artist,Egil Hagen,lyricists,1964,NO,1964_NO
Sigurd Jansen,composers,Egil Hagen,lyricists,1964,NO,1964_NO
Bjørn Tidmand,artist,Aksel V. Rasmussen,composers,1964,DK,1964_DK
Bjørn Tidmand,artist,Mogens Dam,lyricists,1964,DK,1964_DK
Aksel V. Rasmussen,composers,Mogens Dam,lyricists,1964,DK,1964_DK
Anneke Grönloh,artist,Ted Powder,composers,1964,NL,1964_NL
Anneke Grönloh,artist,René de Vos,lyricists,1964,NL,1964_NL
Ted Powder,composers,René de Vos,lyricists,1964,NL,1964_NL
Robert Cogoi,artist,Robert Cogoi,writers,1964,BE,1964_BE
"Tim, Nelly and Tony",artist,Fina de Calderón,writers,1964,ES,1964_ES
Nora Nova,artist,Rudi von der Dovenmühle,composers,1964,DE,1964_DE
Nora Nova,artist,Niels Nobach,lyricists,1964,DE,1964_DE
Rudi von der Dovenmühle,composers,Niels Nobach,lyricists,1964,DE,1964_DE
António Calvário,artist,João Nobre,composers,1964,PT,1964_PT
António Calvário,artist,Rogério Bracinha,lyricists,1964,PT,1964_PT
João Nobre,composers,Rogério Bracinha,lyricists,1964,PT,1964_PT
Sabahudin Kurt,artist,Srđan Matijević,composers,1964,YU,1964_YU
Sabahudin Kurt,artist,Stevan Raičković,lyricists,1964,YU,1964_YU
Srđan Matijević,composers,Stevan Raičković,lyricists,1964,YU,1964_YU
Anita Traversi,artist,Giovanni Pelli,composers,1964,CH,1964_CH
Anita Traversi,artist,Sanzio Chiesa,lyricists,1964,CH,1964_CH
Giovanni Pelli,composers,Sanzio Chiesa,lyricists,1964,CH,1964_CH
France Gall,artist,Serge Gainsbourg,writers,1965,LU,1965_LU
Kathy Kirby,artist,Peter Lee Sterling,composers,1965,GB,1965_GB
Kathy Kirby,artist,Phil Peters,lyricists,1965,GB,1965_GB
Peter Lee Sterling,composers,Phil Peters,lyricists,1965,GB,1965_GB
Guy Mardel,artist,Guy Mardel,composers,1965,FR,1965_FR
Guy Mardel,artist,Françoise Dorin,lyricists,1965,FR,1965_FR
Guy Mardel,composers,Françoise Dorin,lyricists,1965,FR,1965_FR
Udo Jürgens,artist,Udo Jürgens,composers,1965,AT,1965_AT
Udo Jürgens,artist,Frank Bohlen,lyricists,1965,AT,1965_AT
Udo Jürgens,composers,Frank Bohlen,lyricists,1965,AT,1965_AT
Bobby Solo,artist,Gianni Marchetti,composers,1965,IT,1965_IT
Bobby Solo,artist,Mogol,lyricists,1965,IT,1965_IT
Gianni Marchetti,composers,Mogol,lyricists,1965,IT,1965_IT
Butch Moore,artist,Joe Harrigan,composers,1965,IE,1965_IE
Butch Moore,artist,Teresa Conlon,lyricists,1965,IE,1965_IE
Joe Harrigan,composers,Teresa Conlon,lyricists,1965,IE,1965_IE
Birgit Brüel,artist,Jørgen Jersild,composers,1965,DK,1965_DK
Birgit Brüel,artist,Poul Henningsen,lyricists,1965,DK,1965_DK
Jørgen Jersild,composers,Poul Henningsen,lyricists,1965,DK,1965_DK
Yovanna,artist,Bob Calfati,composers,1965,CH,1965_CH
Yovanna,artist,Jean Charles,lyricists,1965,CH,1965_CH
Bob Calfati,composers,Jean Charles,lyricists,1965,CH,1965_CH
Marjorie Noël,artist,Raymond Bernard,composers,1965,MC,1965_MC
Marjorie Noël,artist,Jacques Mareuil,lyricists,1965,MC,1965_MC
Raymond Bernard,composers,Jacques Mareuil,lyricists,1965,MC,1965_MC
Ingvar Wixell,artist,Dag Wirén,composers,1965,SE,1965_SE
Ingvar Wixell,artist,Alf Henriksson,lyricists,1965,SE,1965_SE
Dag Wirén,composers,Alf Henriksson,lyricists,1965,SE,1965_SE
Conny Van den bos,artist,Johnny Holshuyzen,composers,1965,NL,1965_NL
Conny Van den bos,artist,Joke van Soest,lyricists,1965,NL,1965_NL
Conny Van den bos,artist,Wim van der Beek,backings,1965,NL,1965_NL
Johnny Holshuyzen,composers,Joke van Soest,lyricists,1965,NL,1965_NL
Johnny Holshuyzen,composers,Wim van der Beek,backings,1965,NL,1965_NL
Joke van Soest,lyricists,Wim van der Beek,backings,1965,NL,1965_NL
Vice Vukov,artist,Julio Marić,composers,1965,YU,1965_YU
Vice Vukov,artist,Žarko Roje,lyricists,1965,YU,1965_YU
Julio Marić,composers,Žarko Roje,lyricists,1965,YU,1965_YU
Kirsti Sparboe,artist,Jolly Kramer-Johansen,writers,1965,NO,1965_NO
Simone de Oliveira,artist,Carlos Nóbrega e Sousa,composers,1965,PT,1965_PT
Simone de Oliveira,artist,Jerónimo Bragança,lyricists,1965,PT,1965_PT
Carlos Nóbrega e Sousa,composers,Jerónimo Bragança,lyricists,1965,PT,1965_PT
Conchita Bautista,artist,Antonio Figueroa Egea,writers,1965,ES,1965_ES
Ulla Wiesner,artist,Hans Blum,writers,1965,DE,1965_DE
Lize Marke,artist,Jef van den Berg,composers,1965,BE,1965_BE
Lize Marke,artist,Jaak Dreesen,lyricists,1965,BE,1965_BE
Jef van den Berg,composers,Jaak Dreesen,lyricists,1965,BE,1965_BE
Viktor Klimenko,artist,Toivo Kärki,composers,1965,FI,1965_FI
Viktor Klimenko,artist,Reino Helismaa,lyricists,1965,FI,1965_FI
Toivo Kärki,composers,Reino Helismaa,lyricists,1965,FI,1965_FI
Udo Jürgens,artist,Udo Jürgens,composers,1966,AT,1966_AT
Udo Jürgens,artist,Udo Jürgens,lyricists,1966,AT,1966_AT
Udo Jürgens,composers,Udo Jürgens,lyricists,1966,AT,1966_AT
Lill Lindfors & Svante Thuresson,artist,Bengt Arne Wallin,composers,1966,SE,1966_SE
Lill Lindfors & Svante Thuresson,artist,Björn Lindroth,lyricists,1966,SE,1966_SE
Lill Lindfors & Svante Thuresson,artist,Sahib Shihab,backings,1966,SE,1966_SE
Bengt Arne Wallin,composers,Björn Lindroth,lyricists,1966,SE,1966_SE
Bengt Arne Wallin,composers,Sahib Shihab,backings,1966,SE,1966_SE
Björn Lindroth,lyricists,Sahib Shihab,backings,1966,SE,1966_SE
Åse Kleveland,artist,Arne Bendiksen,writers,1966,NO,1966_NO
Tonia,artist,Paul Quintens,composers,1966,BE,1966_BE
Tonia,artist,Phil van Cauwenbergh,lyricists,1966,BE,1966_BE
Paul Quintens,composers,Phil van Cauwenbergh,lyricists,1966,BE,1966_BE
Dickie Rock,artist,Rowland Soper,writers,1966,IE,1966_IE
Madeleine Pascal,artist,Pierre Brenner,composers,1966,CH,1966_CH
Madeleine Pascal,artist,Roland Schweizer,lyricists,1966,CH,1966_CH
