year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url,manually_replaced_url
2004,mt,Malta,Julie & Ludwig,On Again... Off Again,12,0,6,8,12,50,8,74,,,,,Philip Vella,Gerard James Borg,"Look at me, I need some attention\nI'm a girl of serious intention\nJust like a butterfly\nMy wings can take me high\nTo touch your piece of sky\n\nThough I can fly away\nPlay cool, or run away\nI choose to hold your love\nMore than one night\n\nYou're everything and nothing in one\n(What do you mean?)\nOur love goes from the north to the south\n(I disagree)\nI just can't understand anymore\nWhat we have in common\n\nOn again, off again\nLike the rhythm of rain\nWe need to decide\nFind an end to this game\nSuch wonderful times\nMany natural highs\nLove is a flame that we can never tame\nOn again, off again\n\nWhy, oh why can't I live without you?\nHow, oh how do I reach inside you?\nMy love is justified\nI simply had enough\nI want you by my side\n\nAm I your fantasy?\nMystery? Or destiny?\nDo you take me for a ride?\nPlease, tell me now\n\nYou're the air, you're the love that I breathe\n(That sounds so good)\nYou're the magic that flows from within\n(I feel that too)\nWe come close, then we move far away\nCan't we stay together?\n\nOn again, off again\nLike the rhythm of rain\nWe need to decide\nFind an end to this game\nSuch wonderful times\nMany natural highs\nLove is a flame that we can never tame\nOn again, off again\n\nThere's a river between us\nAnd I need you to come across\nReach out for my heart\nKeep this feeling so alive\nLove grows, we survive\n\nOn again, off again\nLike the rhythm of rain\nWe need to decide\nFind an end to this game\nSuch wonderful times\nMany natural highs\nLove is a flame that we can never tame\nOn again, off again\n\nOff again, on again\nLike a flickering flame\nThat dies in the wind\nAnd lights up again\nSuch wonderful times\nMany natural highs\nLove is a flame we can never tame\nOn again, off again\n\nOn again, off again",https://youtube.com/watch?v=hbKBo7QhwcI,
2004,hr,Croatia,Ivan Mikulic,You Are The Only One,12,0,11,18,12,50,9,72,,,,,Ivan Mikulić;Vedran Ostojić,Duško Gruborović,"Once again just hold me, let me feel you breathe\nSoftly kiss me on my face, love is all I need\nLonely moments, years, nothing before you\nFinally you're here, our love is true\n\nHold me once again, my dear, let your passion take me\nIn my heart there's harmony when you're close to me\nEven in my dreams, I really need to feel you\nForever we'll be one, our love is true\n\nYou are the only one, our love is timeless\nWhen you are by my side, I'm truly blessed with...\nWith only happiness\nI have got someone, someone of my own\nA part of me who lives for me\nWho would die for me\n\nHold me once again, my dear, let your passion take me\nIn my heart there's harmony when you're close to me\nEven in my dreams, I really need to feel you\nForever we'll be one, our love is true\n\nYou are the only one, our love is timeless\nWhen you are by my side, I'm truly blessed with...\nWith only happiness\nI have got someone, someone of my own\nA part of me who lives for me\nWho would die for me\n\nYou are the only one (Our love is timeless)\n(When you are) by my side, I'm truly blessed with...\nWith only happiness\nI have got someone of my own\nA part of me who lives for me\nWho would die for me\n\nA part of me who lives for me\nWho would die for me",https://youtube.com/watch?v=WnuBcWHRMjY,
2004,mk,North Macedonia,Tose Proeski,Life,14,0,15,15,14,47,10,71,,,,,Jovan Jovanov,Ilija Nikolovski,"I saw my ID and it wasn't me\nIt was someone else's identity\nWhy do I need to prove myself\nAnd who is the judge of my sanity?\n\nRoaming through my old emotions\nI find new feelings of misery\nI bet with my soul to get back the truth\nWhere I will face reality\n\nLife is a book and you gotta read it\nLife is a story and you gotta tell it\nLife is a song and you gotta sing it\nYou've got to know how to live it\n\nLife is a book and you gotta read it\nLife is a story and you gotta tell it\nLife is a song and you gotta sing it\nYou've got to know how to live it\n\nWalking around, some thoughts on my mind\nI search for a place where I'll be free\nFrom all that is said and all that's been done\nIt'll be hard to find it inside of me\n\nLife is a book and you gotta read it\nLife is a story and you gotta tell it\nLife is a song and you gotta sing it\nYou've got to know how to live it\n\n(Life is a book and you gotta read it)\nOh... life is a story and you gotta tell it\nLife is a song and you gotta sing it\nYou've got to know how to live it\n\nI know that I've gotta try\nNo one can see me cry\nI can't take it anymore\nI must find a way to let myself go, yeah\n\nOh yeah\n(Life is a... life is... life is...)\n(Life is a... life is... life is...)\nIt's true, you know it, don't you?\n\nLife is a book and you gotta read it\nLife is a story and you gotta tell it\nLife is a song and you gotta sing it\nYou've got to know how to live it\n\n(Life is a book and you gotta read it)\nLife is a story and you gotta tell it\nLife is a song and you gotta sing it\nYou've got to know how to live it\n\n(Life is a book and you gotta read it)\nLife is a story and you gotta tell it\nLife is a song and you gotta sing it\nYou've got to know how to live it",https://youtube.com/watch?v=5_NX0usepUI,
2004,fr,France,Jonatan Cerrada,A Chaque Pas,15,,4,,15,40,,,,,,,Ben 'Jammin' Robbins;Steve Balsamo,Jonatan Cerrada,"Il y a des blessures qu'on devra oublier\nTellement de ratures qu'il faudra effacer\nSouffler très fort pour que s'envole de nos cœurs la rancune\nEt puis faire tomber les barrières une à une\n\nÀ chaque pas que l'on fera\nÀ chaque geste qu'on offrira\nCe sera le début d'un autre demain\nDans chaque mot que l'on dira\nDans ce futur qu'on construira\nC'est l'amour que dessineront nos mains\n\nIl y a des injures qu'il faudra pardonner\nDes cris contre des murs qui les feront tomber\nDéposons les armes à nos pieds, délaissons nos armures\nPour que nos conflits ne soient plus que murmure, yeah\n\nÀ chaque pas que l'on fera\nÀ chaque geste qu'on offrira\nCe sera le début d'un autre demain\nDans chaque mot que l'on dira\nDans ce futur qu'on construira\nC'est l'amour que dessineront nos mains\n\nLa bataille sera longue\nMais tu sais, elle en vaut la peine\nL'enfant en nous trouvera le chemin\n\nOh... il y a des fêlures qui resteront brisées\nDes coups un peu durs à jamais marqués\n\nÀ chaque pas que l'on fera\nÀ chaque geste qu'on offrira\nSé que al final lograrás encontrar\nLa paz y la felicidad\nEn tu camino hallarás\nTodo lo que deseas alcanzar\n\nC'est l'amour que dessineront nos mains",https://youtube.com/watch?v=vrzC1oGWX_I,
2004,gb,United Kingdom,James Fox,Hold On To Our Love,16,,20,,16,29,,,,,,,Gary Miller,Tim Woodcock,"Maybe I've been foolish letting you down\nI've been a little selfish not being around\nBut if I lost you, I'd be helpless inside\nGotta hold on to our love tonight\n\n'Cause now that I've found that someone I believe in\nAnd I feel so complete by your side\nIt's the only time I've ever loved somebody, baby, in my life\nWe gotta hold on to our love tonight\n\nI know that you've been hurting\nThe pain's in your eyes\nI promise you I'm changing, I feel it inside\nI don't know what I would do if it all passes by\nWe gotta hold on to our love tonight\n\n'Cause now that I've found that someone I believe in\nAnd I feel so complete by your side\nIt's the only time I've ever loved somebody, baby, in my life\nWe gotta hold on to our love tonight\n\nSome things in life we should treasure\nWhen you find love, never let it go\nBecause now I realise and I want you to know\n\n'Cause now that I've found that someone I believe in\nAnd I feel so complete by your side\nIt's the only time I've ever loved somebody, baby, in my life\nWe gotta hold on to our love tonight\n\n'Cause now that I've found that someone I believe in\nAnd I feel so complete by your side\nIt's the only time I've ever loved somebody, baby, in my life\nWe gotta hold on to our love tonight\nWe gotta hold on to our love tonight",https://youtube.com/watch?v=i6S9vDdTWAA,
2004,pl,Poland,Blue Cafe,Love Song,17,,19,,17,27,,,,,,,Paweł Rurak-Sokal,Tatiana Okupnik,"Every day (Every day)\nI feel I need somebody\nEvery night (Every night)\nI wanna feel your body\nEvery day (Every day)\nI can not wait\nEvery night (Every night)\nI sing this way\n\nSweet song, love song\nSweet song, wanna give you this song\nSweet song, love song\nSweet song\n\nEvery day (Every day)\nI wanna love somebody\nEvery night (Every night)\nI feel I need your body\nEvery day (Every day)\nI feel the same\nEvery night (Every night)\nI sing this way\n\nSweet song, love song\nSweet song, wanna give you this song\nSweet song, love song\nSweet song\n(Uno, dos, tres, cuatro)\n\nTe quiero como eres\nQuiero ser tu muchacha\nTú me das alegría\nDe sentirme muchacha\nTe busco en la mañana\nPorque soy tu muchacha\n(Oh...)\n\nSweet song, love song\nSweet song, wanna give you this song\nSweet song, love song\nSweet song\n(Yo te quiero, sí, mi muchacha)\n\nSweet song, love song\nSweet song, love song\nSweet song, love song\nSweet song\n\nSweet song, love song\nSweet song, wanna give you this song\nSweet song, love song\nSweet song",https://youtube.com/watch?v=kWS-S53Zsio,
2004,ro,Romania,Sanda Ladosi,I Admit,18,,23,,18,18,,,,,,,George Popa,Irina Gligor,"As in a dream, love appeared\nSwept me away and made me lose control like never before\nAs in a dream, love touched me\nI felt how it touched the bottom of my very soul\n\nNow I know I find the key to my heart\nI just hope this ain't a dream and that you are reality\n\nI admit I fell for you so badly\nAnd I admit you make my senses wild\nI know sometimes I am looking foolish, I admit, I admit\nI'll be your fool as long as you are mine, yes mine, just mine\n\nIt's good to be in love\nIt makes you touch the sky a thousand times or more\nIt's good to admit\nThat my heart starts to race when you walk through that door\n\nNow I know you are the key to my heart\nJust hope you're not a dream and that you'll be my everything\n\nI admit I fell for you so badly\nAnd I admit you make my senses wild\nI know sometimes I am looking foolish, I admit, I admit\nI'll be your fool as long as you are mine, yes mine, just mine\n\nI admit I fell for you so badly, and I feel so good\nAnd I admit you make my senses wild\nI know sometimes I might act and look foolish, I admit, I admit\nI'll be your fool as long as you are mine, yes mine, just mine\n\nJust mine\nYou make me shine\nYou are the light in my life\n\nI admit I fell for you so badly, and I feel so good\nAnd I admit you make my senses wild\nI know sometimes I am looking foolish, I admit, I admit\nI'll be your fool as long as you are mine, yes mine, just mine\n\nI admit I fell for you so badly, and I feel so good\nAnd I admit you make my senses wild, oh yeah\nI know sometimes I might act and look foolish, I admit, I admit\nI'll be your fool as long as you are mine, yes mine, just mine, all right\nMine, yes mine, just mine\nJust mine",https://youtube.com/watch?v=1QwC2gsmGkA,
2004,is,Iceland,Jónsi,Heaven,19,,17,,19,16,,,,,,,Sveinn Rúnar Sigurðsson,Magnús Þór Sigmundsson,"I still miss you and it makes me feel blue\nAnd I'm lost without those colours of you\nI can't think straight, I just wanna be\nWherever you are when you're not here with me\n\nBlend with my blue, those colours of you\nPlease help me see it through, oh...\nThis journey I must take alone\nSo just blend your colours with my blue\n\nI lay down and cry, and the rivers are dry\nOh... to unveil my heart when you kiss me goodbye\nAnd when you set sail, fair winds all the way\nSo farewell, that's all I can say\n\nMmm... blend with my blue, the colours of you\nOh... please help me see it through, oh...\nThis journey I must take alone\nOh... so just blend your colours with my blue\n\nAnd I know I'll find my love tonight\nI can feel you reachin' out\nI got this feeling deep inside\nIt's in my head, it's in my heart\n\nI know your love tonight\nAnd I know you'll be by my side\nI know you'll help me to see it through\nOh... blend your colours with my blue",https://youtube.com/watch?v=fe5Sql0wKJI,
2004,nl,Netherlands,Re-union,Without You,20,0,7,22,20,11,6,146,,,,,Ed van Otterdijk,Angeline van Otterdijk,"Ooh... (ooh...)\nOoh...\nOoh... (ooh...)\nOoh... (ooh yeah)\n\nI spent my life in search for you\nNot knowing what to find\nStill wonder how did I pull through\nWithout you on my mind\n\nFriends tell me you're no good for me\nI'll show them all they're wrong\n'Cause you are everything to me\nIt never felt so strong\n\nWithout you...\nNothing can turn out right\nI lie awake all night\nWithout you...\nI keep calling your name\nMy life can never be the same\n\nYou are a miracle to me\nYour face I can't forget (face I can't forget)\nI just feel we are bound to be\nFrom the moment that we met\n\nI've been waiting for someone like you\nNow you've come my way\nSometimes I can't believe it's true\nI hope you're here to stay\n\nWithout you...\nNothing can turn out right\nI lie awake all night\nOh yeah, without you...\nI keep calling your name\nMy life can never be the same\nOh yeah\n\nListen to this heart of mine\nIt's filled with dear desire\nFor you're the kind I tried so long to find\nYou set my soul on fire\n\nWithout you...\nNothing can turn out right\nI lie awake all night\nOh yeah, without you...\nI keep calling your name\nMy life can never be the same\nOh yeah\n\nWithout you...\nI lie awake all night\nOh, I keep calling you\nWithout you...\nWithout you",https://youtube.com/watch?v=phHQrLvEBUU,
2004,at,Austria,Tie Break,Du Bist,21,,2,,21,9,,,,,,,Peter Zimmermann,,"Diese Stille, die ich hab'\nImmer wenn du bei mir bist\nDiese pure Fantasie\nDiese Kraft, die du nur gibst\n\nDiese kleinen Glücksmomente\nDie du mir so zahlreich gibst\nImmer fehlen dann die Worte\nWeil es ohne dich nichts gibt\n\nWenn du traurig bist, dann wein' ich mit dir mit\nWenn du schläfst, dann träum' ich mit dir mit\n\nDu bist das Leben, das ich lieb'\nDu hast das Lachen, das ich brauch'\nDu bist der Stern am Sternenzelt\nUnd alles andere Schöne auch\n\nDu bist die Kraft, die mich umgibt\nDu bist die Wärme, bist das Licht\nUnd was ich sonst noch alles brauch'\nDas bist du auch\n\nDu bist ein Wahnsinns-Optimist\nFür dich sind Grenzen unbekannt\nFür dich ist jeder Wunsch ein Ziel\nUnd alle Träume werden wahr\n\nWenn du traurig bist, dann wein' ich mit dir mit\nWenn du schläfst, dann träum' ich mit dir mit\n\nDu bist das Leben, das ich lieb'\nDu hast das Lachen, das ich brauch'\nDu bist der Stern am Sternenzelt\nUnd alles andere Schöne auch\n\nDu bist die Kraft, die mich umgibt\nDu bist die Wärme, bist das Licht\nUnd was ich sonst noch alles brauch'\nDas bist du auch\n\nDie Luft, die mir den Atem gibt\nDas Wunder, dass man Leben nennt\nDas Wasser, dass ich nicht verdurst'\nAll das in einem, das bist du\n\nDu bist das Leben, das ich lieb'\nDu hast das Lachen, das ich brauch'\nDu bist der Stern am Sternenzelt\nUnd alles andere Schöne auch\n\nDu bist die Kraft, die mich umgibt\nDu bist die Wärme, bist das Licht\nUnd was ich sonst noch alles brauch'\nDas bist du auch",https://youtube.com/watch?v=_KXWrVtNFiE,
