person_a,person_a_role,person_b,person_b_role,year,country,performance_id
Ruslana,artist,Ruslana,composers,2004,UA,2004-ua
Ruslana,artist,Sherena Dugani,lyricists,2004,UA,2004-ua
Ruslana,composers,Sherena Dugani,lyricists,2004,UA,2004-ua
Željko Joksimović,artist,Željko Joksimović,composers,2004,CS,2004-cs
Željko Joksimović,artist,Leontina Vukomanović,lyricists,2004,CS,2004-cs
Željko Joksimović,composers,Leontina Vukomanović,lyricists,2004,CS,2004-cs
Sakis Rouvas,artist,Nikos Terzis,composers,2004,GR,2004-gr
Sakis Rouvas,artist,Nektarios Tirakis,lyricists,2004,GR,2004-gr
Sakis Rouvas,artist,Yianna Fafaliou,backings,2004,GR,2004-gr
Sakis Rouvas,artist,Fokas Evangelinos,stageDirector,2004,GR,2004-gr
Sakis Rouvas,artist,Maria Liraraki,dancers,2004,GR,2004-gr
Nikos Terzis,composers,Nektarios Tirakis,lyricists,2004,GR,2004-gr
Nikos Terzis,composers,Yianna Fafaliou,backings,2004,GR,2004-gr
Nikos Terzis,composers,Fokas Evangelinos,stageDirector,2004,GR,2004-gr
Nikos Terzis,composers,Maria Liraraki,dancers,2004,GR,2004-gr
Nektarios Tirakis,lyricists,Yianna Fafaliou,backings,2004,GR,2004-gr
Nektarios Tirakis,lyricists,Fokas Evangelinos,stageDirector,2004,GR,2004-gr
Nektarios Tirakis,lyricists,Maria Liraraki,dancers,2004,GR,2004-gr
Yianna Fafaliou,backings,Fokas Evangelinos,stageDirector,2004,GR,2004-gr
Yianna Fafaliou,backings,Maria Liraraki,dancers,2004,GR,2004-gr
Fokas Evangelinos,stageDirector,Maria Liraraki,dancers,2004,GR,2004-gr
Athena,artist,Hakan Özoğuz,writers,2004,TR,2004-tr
Lisa Andreas,artist,Mike Connaris,writers,2004,CY,2004-cy
Lena Philipsson,artist,Micke Blomqvist,backings,2004,SE,2004-se
Lena Philipsson,artist,Thomas 'Orup' Eriksson,writers,2004,SE,2004-se
Micke Blomqvist,backings,Thomas 'Orup' Eriksson,writers,2004,SE,2004-se
Anjeza Shahini,artist,Edmond Zhulali,composers,2004,AL,2004-al
Anjeza Shahini,artist,Xhuli Teilor,lyricists,2004,AL,2004-al
Anjeza Shahini,artist,Tergita Gusta,backings,2004,AL,2004-al
Edmond Zhulali,composers,Xhuli Teilor,lyricists,2004,AL,2004-al
Edmond Zhulali,composers,Tergita Gusta,backings,2004,AL,2004-al
Xhuli Teilor,lyricists,Tergita Gusta,backings,2004,AL,2004-al
Max,artist,Stefan Raab,writers,2004,DE,2004-de
Max,artist,Wolfgang Norman Dalheimer,backings,2004,DE,2004-de
Stefan Raab,writers,Wolfgang Norman Dalheimer,backings,2004,DE,2004-de
Deen,artist,Vesna Pisarović,writers,2004,BA,2004-ba
Deen,artist,Maja Sarihodžić,backings,2004,BA,2004-ba
Vesna Pisarović,writers,Maja Sarihodžić,backings,2004,BA,2004-ba
Ramón,artist,Kike Santander,writers,2004,ES,2004-es
Ramón,artist,Tomás,backings,2004,ES,2004-es
Kike Santander,writers,Tomás,backings,2004,ES,2004-es
Julia Savicheva,artist,Maxim Fadeev,composers,2004,RU,2004-ru
Julia Savicheva,artist,Brenda Loring,lyricists,2004,RU,2004-ru
Julia Savicheva,artist,Kamel Ouali,stageDirector,2004,RU,2004-ru
Maxim Fadeev,composers,Brenda Loring,lyricists,2004,RU,2004-ru
Maxim Fadeev,composers,Kamel Ouali,stageDirector,2004,RU,2004-ru
Brenda Loring,lyricists,Kamel Ouali,stageDirector,2004,RU,2004-ru
Julie & Ludwig,artist,Philip Vella,composers,2004,MT,2004-mt
Julie & Ludwig,artist,Gerard James Borg,lyricists,2004,MT,2004-mt
Philip Vella,composers,Gerard James Borg,lyricists,2004,MT,2004-mt
Ivan Mikulic,artist,Vedran Ostojić,composers,2004,HR,2004-hr
Ivan Mikulic,artist,Duško Gruborović,lyricists,2004,HR,2004-hr
Ivan Mikulic,artist,Vladimir Pavelić-Bubi,backings,2004,HR,2004-hr
Vedran Ostojić,composers,Duško Gruborović,lyricists,2004,HR,2004-hr
Vedran Ostojić,composers,Vladimir Pavelić-Bubi,backings,2004,HR,2004-hr
Duško Gruborović,lyricists,Vladimir Pavelić-Bubi,backings,2004,HR,2004-hr
Tose Proeski,artist,Jovan Jovanov,composers,2004,MK,2004-mk
Tose Proeski,artist,Ilija Nikolovski,lyricists,2004,MK,2004-mk
Tose Proeski,artist,Tamara Todevska,backings,2004,MK,2004-mk
Jovan Jovanov,composers,Ilija Nikolovski,lyricists,2004,MK,2004-mk
Jovan Jovanov,composers,Tamara Todevska,backings,2004,MK,2004-mk
Ilija Nikolovski,lyricists,Tamara Todevska,backings,2004,MK,2004-mk
Jonatan Cerrada,artist,Steve Balsamo,composers,2004,FR,2004-fr
Jonatan Cerrada,artist,Jonatan Cerrada,lyricists,2004,FR,2004-fr
Jonatan Cerrada,artist,Kamel Ouali,stageDirector,2004,FR,2004-fr
Steve Balsamo,composers,Jonatan Cerrada,lyricists,2004,FR,2004-fr
Steve Balsamo,composers,Kamel Ouali,stageDirector,2004,FR,2004-fr
Jonatan Cerrada,lyricists,Kamel Ouali,stageDirector,2004,FR,2004-fr
James Fox,artist,Gary Miller,composers,2004,GB,2004-gb
James Fox,artist,Tim Woodcock,lyricists,2004,GB,2004-gb
Gary Miller,composers,Tim Woodcock,lyricists,2004,GB,2004-gb
Blue Cafe,artist,Paweł Rurak-Sokal,composers,2004,PL,2004-pl
Blue Cafe,artist,Tatiana Okupnik,lyricists,2004,PL,2004-pl
Paweł Rurak-Sokal,composers,Tatiana Okupnik,lyricists,2004,PL,2004-pl
Sanda Ladosi,artist,George Popa,composers,2004,RO,2004-ro
Sanda Ladosi,artist,Irina Gligor,lyricists,2004,RO,2004-ro
George Popa,composers,Irina Gligor,lyricists,2004,RO,2004-ro
Jónsi,artist,Sveinn Rúnar Sigurðsson,composers,2004,IS,2004-is
Jónsi,artist,Magnús Þór Sigmundsson,lyricists,2004,IS,2004-is
Sveinn Rúnar Sigurðsson,composers,Magnús Þór Sigmundsson,lyricists,2004,IS,2004-is
Re,artist,Tarif Heljanan,backings,2004,NL,2004-nl
Re,artist,Ed van Otterdijk,composers,2004,NL,2004-nl
Re,artist,Angeline van Otterdijk,lyricists,2004,NL,2004-nl
Tarif Heljanan,backings,Ed van Otterdijk,composers,2004,NL,2004-nl
Tarif Heljanan,backings,Angeline van Otterdijk,lyricists,2004,NL,2004-nl
Ed van Otterdijk,composers,Angeline van Otterdijk,lyricists,2004,NL,2004-nl
Tie Break,artist,Peter Zimmermann,writers,2004,AT,2004-at
Xandee,artist,Patrick Vinx,backings,2004,BE,2004-be
Xandee,artist,Marc Paelinck,composers,2004,BE,2004-be
Xandee,artist,Dirk Paelinck,lyricists,2004,BE,2004-be
Patrick Vinx,backings,Marc Paelinck,composers,2004,BE,2004-be
Patrick Vinx,backings,Dirk Paelinck,lyricists,2004,BE,2004-be
Marc Paelinck,composers,Dirk Paelinck,lyricists,2004,BE,2004-be
Chris Doran,artist,Bryan McFadden,composers,2004,IE,2004-ie
Chris Doran,artist,Jonathan Shorten,lyricists,2004,IE,2004-ie
Bryan McFadden,composers,Jonathan Shorten,lyricists,2004,IE,2004-ie
Knut Anders Sørum,artist,Håvard Gryting,backings,2004,NO,2004-no
Knut Anders Sørum,artist,Thomas Thörnholm,composers,2004,NO,2004-no
Knut Anders Sørum,artist,Dan Attlerud,lyricists,2004,NO,2004-no
Håvard Gryting,backings,Thomas Thörnholm,composers,2004,NO,2004-no
Håvard Gryting,backings,Dan Attlerud,lyricists,2004,NO,2004-no
Thomas Thörnholm,composers,Dan Attlerud,lyricists,2004,NO,2004-no
Neiokõsõ,artist,Priit Pajusaar,composers,2004,EE,2004-ee
Neiokõsõ,artist,Aapo Ilves,lyricists,2004,EE,2004-ee
Priit Pajusaar,composers,Aapo Ilves,lyricists,2004,EE,2004-ee
David D'or,artist,Tomer Bachar,backings,2004,IL,2004-il
David D'or,artist,Ofer Meiri,composers,2004,IL,2004-il
David D'or,artist,David D'or,lyricists,2004,IL,2004-il
Tomer Bachar,backings,Ofer Meiri,composers,2004,IL,2004-il
Tomer Bachar,backings,David D'or,lyricists,2004,IL,2004-il
Ofer Meiri,composers,David D'or,lyricists,2004,IL,2004-il
Tomas Thordarson,artist,Mads Enggaard,backings,2004,DK,2004-dk
Tomas Thordarson,artist,Ivar Lind Greiner,composers,2004,DK,2004-dk
Tomas Thordarson,artist,Iben Plesner,lyricists,2004,DK,2004-dk
Mads Enggaard,backings,Ivar Lind Greiner,composers,2004,DK,2004-dk
Mads Enggaard,backings,Iben Plesner,lyricists,2004,DK,2004-dk
Ivar Lind Greiner,composers,Iben Plesner,lyricists,2004,DK,2004-dk
Jari Sillanpää,artist,Riikka Timonen,backings,2004,FI,2004-fi
Jari Sillanpää,artist,Mika Toivanen,composers,2004,FI,2004-fi
Jari Sillanpää,artist,Jari Sillanpää,lyricists,2004,FI,2004-fi
Riikka Timonen,backings,Mika Toivanen,composers,2004,FI,2004-fi
Riikka Timonen,backings,Jari Sillanpää,lyricists,2004,FI,2004-fi
Mika Toivanen,composers,Jari Sillanpää,lyricists,2004,FI,2004-fi
Sofia,artist,Vânia de Oliveira,backings,2004,PT,2004-pt
Sofia,artist,Paulo Neves,writers,2004,PT,2004-pt
Vânia de Oliveira,backings,Paulo Neves,writers,2004,PT,2004-pt
Linas ir Simona,artist,Michalis Antoniou,composers,2004,LT,2004-lt
Linas ir Simona,artist,Camden-MS,lyricists,2004,LT,2004-lt
Michalis Antoniou,composers,Camden-MS,lyricists,2004,LT,2004-lt
Fomins & Kleins,artist,Tomass Kleins,composers,2004,LV,2004-lv
Fomins & Kleins,artist,Guntars Račs,lyricists,2004,LV,2004-lv
Tomass Kleins,composers,Guntars Račs,lyricists,2004,LV,2004-lv
Marta Roure,artist,Jofre Bardagí,writers,2004,AD,2004-ad
Aleksandra & Konstantin,artist,Petr Elfimov,backings,2004,BY,2004-by
Aleksandra & Konstantin,artist,Konstantin Drapezo,composers,2004,BY,2004-by
Aleksandra & Konstantin,artist,Alexey Solomakha,lyricists,2004,BY,2004-by
Petr Elfimov,backings,Konstantin Drapezo,composers,2004,BY,2004-by
Petr Elfimov,backings,Alexey Solomakha,lyricists,2004,BY,2004-by
Konstantin Drapezo,composers,Alexey Solomakha,lyricists,2004,BY,2004-by
Maryon,artist,Philippe Bosco,composers,2004,MC,2004-mc
Maryon,artist,Patrick Sassier,lyricists,2004,MC,2004-mc
Philippe Bosco,composers,Patrick Sassier,lyricists,2004,MC,2004-mc
Platin,artist,Simon Gomilšek,composers,2004,SI,2004-si
Platin,artist,Diana Lečnik,lyricists,2004,SI,2004-si
Simon Gomilšek,composers,Diana Lečnik,lyricists,2004,SI,2004-si
Piero Esteriore & the MusicStars,artist,Greg Manning,writers,2004,CH,2004-ch
Helena Paparizou,artist,Manos Psaltakis,composers,2005,GR,2005-gr
Helena Paparizou,artist,Natalia Germanou,lyricists,2005,GR,2005-gr
Helena Paparizou,artist,Alexandros Panayi,backings,2005,GR,2005-gr
Helena Paparizou,artist,Thodoris Panas,dancers,2005,GR,2005-gr
Helena Paparizou,artist,Fokas Evangelinos,stageDirector,2005,GR,2005-gr
Manos Psaltakis,composers,Natalia Germanou,lyricists,2005,GR,2005-gr
Manos Psaltakis,composers,Alexandros Panayi,backings,2005,GR,2005-gr
Manos Psaltakis,composers,Thodoris Panas,dancers,2005,GR,2005-gr
Manos Psaltakis,composers,Fokas Evangelinos,stageDirector,2005,GR,2005-gr
Natalia Germanou,lyricists,Alexandros Panayi,backings,2005,GR,2005-gr
Natalia Germanou,lyricists,Thodoris Panas,dancers,2005,GR,2005-gr
Natalia Germanou,lyricists,Fokas Evangelinos,stageDirector,2005,GR,2005-gr
Alexandros Panayi,backings,Thodoris Panas,dancers,2005,GR,2005-gr
Alexandros Panayi,backings,Fokas Evangelinos,stageDirector,2005,GR,2005-gr
Thodoris Panas,dancers,Fokas Evangelinos,stageDirector,2005,GR,2005-gr
Chiara,artist,Chiara,writers,2005,MT,2005-mt
Luminita Anghel & Sistem,artist,Cristian Faur,writers,2005,RO,2005-ro
Shiri Maymon,artist,Pini Aaronbayev,composers,2005,IL,2005-il
Shiri Maymon,artist,Pini Aaronbayev,lyricists,2005,IL,2005-il
Shiri Maymon,artist,Yael Shachar,backings,2005,IL,2005-il
Pini Aaronbayev,composers,Pini Aaronbayev,lyricists,2005,IL,2005-il
Pini Aaronbayev,composers,Yael Shachar,backings,2005,IL,2005-il
Pini Aaronbayev,lyricists,Yael Shachar,backings,2005,IL,2005-il
Walters & Kazha,artist,Mārtiņš Freimanis,writers,2005,LV,2005-lv
Zdob și Zdub,artist,Mihai Gîncu,composers,2005,MD,2005-md
Zdob și Zdub,artist,Roman Iagupov,lyricists,2005,MD,2005-md
Zdob și Zdub,artist,Lidia Bejenaru,backings,2005,MD,2005-md
Mihai Gîncu,composers,Roman Iagupov,lyricists,2005,MD,2005-md
Mihai Gîncu,composers,Lidia Bejenaru,backings,2005,MD,2005-md
Roman Iagupov,lyricists,Lidia Bejenaru,backings,2005,MD,2005-md
No Name,artist,Slaven Knezović,composers,2005,CS,2005-cs
No Name,artist,Milan Perić,lyricists,2005,CS,2005-cs
Slaven Knezović,composers,Milan Perić,lyricists,2005,CS,2005-cs
Vanilla Ninja,artist,Jane Tempest,composers,2005,CH,2005-ch
Vanilla Ninja,artist,John O'Flynn,lyricists,2005,CH,2005-ch
Jane Tempest,composers,John O'Flynn,lyricists,2005,CH,2005-ch
Wig Wam,artist,Trond Holter,writers,2005,NO,2005-no
Wig Wam,artist,Karianne Kjærnes,backings,2005,NO,2005-no
Trond Holter,writers,Karianne Kjærnes,backings,2005,NO,2005-no
Jakob Sveistrup,artist,Jacob Launbjerg,writers,2005,DK,2005-dk
Jakob Sveistrup,artist,Peter Busborg,backings,2005,DK,2005-dk
Jakob Sveistrup,artist,Birgitte Næss-Schmidt,stageDirector,2005,DK,2005-dk
Jacob Launbjerg,writers,Peter Busborg,backings,2005,DK,2005-dk
Jacob Launbjerg,writers,Birgitte Næss-Schmidt,stageDirector,2005,DK,2005-dk
Peter Busborg,backings,Birgitte Næss-Schmidt,stageDirector,2005,DK,2005-dk
Boris Novkovic feat. Lado members,artist,Franjo Valentić,composers,2005,HR,2005-hr
Boris Novkovic feat. Lado members,artist,Boris Novković,lyricists,2005,HR,2005-hr
Boris Novkovic feat. Lado members,artist,Tomislav Tržan,backings,2005,HR,2005-hr
Franjo Valentić,composers,Boris Novković,lyricists,2005,HR,2005-hr
Franjo Valentić,composers,Tomislav Tržan,backings,2005,HR,2005-hr
Boris Novković,lyricists,Tomislav Tržan,backings,2005,HR,2005-hr
NOX,artist,Szabolcs Harmath,composers,2005,HU,2005-hu
NOX,artist,Attila Valla,lyricists,2005,HU,2005-hu
NOX,artist,Zoltán Dékány,backings,2005,HU,2005-hu
Szabolcs Harmath,composers,Attila Valla,lyricists,2005,HU,2005-hu
Szabolcs Harmath,composers,Zoltán Dékány,backings,2005,HU,2005-hu
Attila Valla,lyricists,Zoltán Dékány,backings,2005,HU,2005-hu
Gülseren,artist,Erdinç Tunç,composers,2005,TR,2005-tr
Gülseren,artist,Göksan Arman,lyricists,2005,TR,2005-tr
Gülseren,artist,Arif Durgeç,backings,2005,TR,2005-tr
Gülseren,artist,Demet Coşkun,dancers,2005,TR,2005-tr
Erdinç Tunç,composers,Göksan Arman,lyricists,2005,TR,2005-tr
Erdinç Tunç,composers,Arif Durgeç,backings,2005,TR,2005-tr
Erdinç Tunç,composers,Demet Coşkun,dancers,2005,TR,2005-tr
Göksan Arman,lyricists,Arif Durgeç,backings,2005,TR,2005-tr
Göksan Arman,lyricists,Demet Coşkun,dancers,2005,TR,2005-tr
Arif Durgeç,backings,Demet Coşkun,dancers,2005,TR,2005-tr
Feminnem,artist,Andrej Babić,writers,2005,BA,2005-ba
Ledina Celo,artist,Adrian Hila,composers,2005,AL,2005-al
Ledina Celo,artist,Sidorela Risto,lyricists,2005,AL,2005-al
Adrian Hila,composers,Sidorela Risto,lyricists,2005,AL,2005-al
Martin Vucic,artist,Dragan Vučić,composers,2005,MK,2005-mk
Martin Vucic,artist,Branka Kostić,lyricists,2005,MK,2005-mk
Martin Vucic,artist,Vlatko Ilievski,backings,2005,MK,2005-mk
Dragan Vučić,composers,Branka Kostić,lyricists,2005,MK,2005-mk
Dragan Vučić,composers,Vlatko Ilievski,backings,2005,MK,2005-mk
Branka Kostić,lyricists,Vlatko Ilievski,backings,2005,MK,2005-mk
Constantinos Christoforou,artist,Constantinos Christoforou,writers,2005,CY,2005-cy
Constantinos Christoforou,artist,Elina Konstantopoulou,backings,2005,CY,2005-cy
Constantinos Christoforou,artist,Fotis Nikolaou,stageDirector,2005,CY,2005-cy
Constantinos Christoforou,writers,Elina Konstantopoulou,backings,2005,CY,2005-cy
Constantinos Christoforou,writers,Fotis Nikolaou,stageDirector,2005,CY,2005-cy
Elina Konstantopoulou,backings,Fotis Nikolaou,stageDirector,2005,CY,2005-cy
Martin Stenmarck,artist,Sandra Linder,backings,2005,SE,2005-se
Martin Stenmarck,artist,Tobias Lundgren,writers,2005,SE,2005-se
Sandra Linder,backings,Tobias Lundgren,writers,2005,SE,2005-se
Greenjolly,artist,Roman Kostyuk,composers,2005,UA,2005-ua
Greenjolly,artist,Roman Kostyuk,lyricists,2005,UA,2005-ua
Greenjolly,artist,Kostiantyn Tomilchenko,stageDirector,2005,UA,2005-ua
Greenjolly,artist,Kostiantyn Tomilchenko,dancers,2005,UA,2005-ua
Roman Kostyuk,composers,Roman Kostyuk,lyricists,2005,UA,2005-ua
Roman Kostyuk,composers,Kostiantyn Tomilchenko,stageDirector,2005,UA,2005-ua
Roman Kostyuk,composers,Kostiantyn Tomilchenko,dancers,2005,UA,2005-ua
Roman Kostyuk,lyricists,Kostiantyn Tomilchenko,stageDirector,2005,UA,2005-ua
Roman Kostyuk,lyricists,Kostiantyn Tomilchenko,dancers,2005,UA,2005-ua
Kostiantyn Tomilchenko,stageDirector,Kostiantyn Tomilchenko,dancers,2005,UA,2005-ua
Son de sol,artist,Jesús Llorent,backings,2005,ES,2005-es
Son de sol,artist,Alfredo Panebianco,writers,2005,ES,2005-es
Jesús Llorent,backings,Alfredo Panebianco,writers,2005,ES,2005-es
Javine,artist,John Themis,composers,2005,GB,2005-gb
Javine,artist,Javine,lyricists,2005,GB,2005-gb
John Themis,composers,Javine,lyricists,2005,GB,2005-gb
Ortal,artist,Marsha Nelzy,backings,2005,FR,2005-fr
Ortal,artist,Saad Tabainet,writers,2005,FR,2005-fr
Ortal,artist,Raphael Kaney,dancers,2005,FR,2005-fr
Marsha Nelzy,backings,Saad Tabainet,writers,2005,FR,2005-fr
Marsha Nelzy,backings,Raphael Kaney,dancers,2005,FR,2005-fr
Saad Tabainet,writers,Raphael Kaney,dancers,2005,FR,2005-fr
Gracia,artist,Jane Tempest,composers,2005,DE,2005-de
Gracia,artist,John O'Flynn,lyricists,2005,DE,2005-de
Jane Tempest,composers,John O'Flynn,lyricists,2005,DE,2005-de
Ivan & Delfin,artist,Radosława Bogusławska,backings,2005,PL,2005-pl
Ivan & Delfin,artist,Łukasz Lazer,composers,2005,PL,2005-pl
Ivan & Delfin,artist,Michał Szymański,lyricists,2005,PL,2005-pl
Radosława Bogusławska,backings,Łukasz Lazer,composers,2005,PL,2005-pl
Radosława Bogusławska,backings,Michał Szymański,lyricists,2005,PL,2005-pl
Łukasz Lazer,composers,Michał Szymański,lyricists,2005,PL,2005-pl
Omar Naber,artist,Teja Saksida,backings,2005,SI,2005-si
Omar Naber,artist,Urša Vlašič,composers,2005,SI,2005-si
Omar Naber,artist,Omar Naber,lyricists,2005,SI,2005-si
Teja Saksida,backings,Urša Vlašič,composers,2005,SI,2005-si
Teja Saksida,backings,Omar Naber,lyricists,2005,SI,2005-si
Urša Vlašič,composers,Omar Naber,lyricists,2005,SI,2005-si
Angelica Agurbash,artist,Victoria Halkiti,backings,2005,BY,2005-by
Angelica Agurbash,artist,Nikos Terzis,composers,2005,BY,2005-by
Angelica Agurbash,artist,Nektarios Tirakis,lyricists,2005,BY,2005-by
Victoria Halkiti,backings,Nikos Terzis,composers,2005,BY,2005-by
Victoria Halkiti,backings,Nektarios Tirakis,lyricists,2005,BY,2005-by
Nikos Terzis,composers,Nektarios Tirakis,lyricists,2005,BY,2005-by
Glennis Grace,artist,Robert D. Fisher,composers,2005,NL,2005-nl
Glennis Grace,artist,Bruce Smith,lyricists,2005,NL,2005-nl
Robert D. Fisher,composers,Bruce Smith,lyricists,2005,NL,2005-nl
Donna & Joseph McCaul,artist,Donna Bissett,backings,2005,IE,2005-ie
Donna & Joseph McCaul,artist,Karl Broderick,writers,2005,IE,2005-ie
Donna Bissett,backings,Karl Broderick,writers,2005,IE,2005-ie
Selma,artist,Þorvaldur Bjarni Þorvaldsson,composers,2005,IS,2005-is
Selma,artist,Selma Björnsdóttir,lyricists,2005,IS,2005-is
Selma,artist,Regína Ósk,backings,2005,IS,2005-is
Þorvaldur Bjarni Þorvaldsson,composers,Selma Björnsdóttir,lyricists,2005,IS,2005-is
Þorvaldur Bjarni Þorvaldsson,composers,Regína Ósk,backings,2005,IS,2005-is
Selma Björnsdóttir,lyricists,Regína Ósk,backings,2005,IS,2005-is
2B,artist,José Da Ponte,composers,2005,PT,2005-pt
2B,artist,José Da Ponte,lyricists,2005,PT,2005-pt
2B,artist,Suzan,backings,2005,PT,2005-pt
José Da Ponte,composers,José Da Ponte,lyricists,2005,PT,2005-pt
José Da Ponte,composers,Suzan,backings,2005,PT,2005-pt
José Da Ponte,lyricists,Suzan,backings,2005,PT,2005-pt
Geir Rönning,artist,Tomas Höglund,backings,2005,FI,2005-fi
Geir Rönning,artist,Mika Toivanen,composers,2005,FI,2005-fi
Geir Rönning,artist,Steven Stewart,lyricists,2005,FI,2005-fi
Tomas Höglund,backings,Mika Toivanen,composers,2005,FI,2005-fi
Tomas Höglund,backings,Steven Stewart,lyricists,2005,FI,2005-fi
Mika Toivanen,composers,Steven Stewart,lyricists,2005,FI,2005-fi
Kaffe,artist,Vesselin Vesselinov-Eko,backings,2005,BG,2005-bg
Kaffe,artist,Vesselin Vesselinov-Eko,composers,2005,BG,2005-bg
Kaffe,artist,Vesselin Vesselinov-Eko,lyricists,2005,BG,2005-bg
Vesselin Vesselinov-Eko,backings,Vesselin Vesselinov-Eko,composers,2005,BG,2005-bg
Vesselin Vesselinov-Eko,backings,Vesselin Vesselinov-Eko,lyricists,2005,BG,2005-bg
Vesselin Vesselinov-Eko,composers,Vesselin Vesselinov-Eko,lyricists,2005,BG,2005-bg
Suntribe,artist,Sven Lõhmus,writers,2005,EE,2005-ee
Global.Kryner,artist,Edi Köhldorfer,composers,2005,AT,2005-at
Global.Kryner,artist,Christof Spörk,lyricists,2005,AT,2005-at
Edi Köhldorfer,composers,Christof Spörk,lyricists,2005,AT,2005-at
Nuno Resende,artist,Frédéric Zeitoun,writers,2005,BE,2005-be
Marian van de Wal,artist,Yolanda Cikara,backings,2005,AD,2005-ad
Marian van de Wal,artist,Rafael Artesero Herrero,composers,2005,AD,2005-ad
Marian van de Wal,artist,Rafael Fernández,lyricists,2005,AD,2005-ad
Yolanda Cikara,backings,Rafael Artesero Herrero,composers,2005,AD,2005-ad
Yolanda Cikara,backings,Rafael Fernández,lyricists,2005,AD,2005-ad
Rafael Artesero Herrero,composers,Rafael Fernández,lyricists,2005,AD,2005-ad
Lise Darly,artist,Philippe Bosco,writers,2005,MC,2005-mc
Laura and the Lovers,artist,Sonja Aldén,backings,2005,LT,2005-lt
Laura and the Lovers,artist,Bobby Ljunggren,composers,2005,LT,2005-lt
Laura and the Lovers,artist,William 'Billy' Butt,lyricists,2005,LT,2005-lt
Sonja Aldén,backings,Bobby Ljunggren,composers,2005,LT,2005-lt
Sonja Aldén,backings,William 'Billy' Butt,lyricists,2005,LT,2005-lt
Bobby Ljunggren,composers,William 'Billy' Butt,lyricists,2005,LT,2005-lt
Lordi,artist,Pasi Rantanen,backings,2006,FI,2006-fi
Lordi,artist,Mr. Lordi,writers,2006,FI,2006-fi
Pasi Rantanen,backings,Mr. Lordi,writers,2006,FI,2006-fi
Dima Bilan,artist,Alexander Lunyev,composers,2006,RU,2006-ru
Dima Bilan,artist,Karen Kavaleryan,lyricists,2006,RU,2006-ru
Dima Bilan,artist,Olga Starikova,backings,2006,RU,2006-ru
Dima Bilan,artist,Fokas Evangelinos,stageDirector,2006,RU,2006-ru
Alexander Lunyev,composers,Karen Kavaleryan,lyricists,2006,RU,2006-ru
Alexander Lunyev,composers,Olga Starikova,backings,2006,RU,2006-ru
Alexander Lunyev,composers,Fokas Evangelinos,stageDirector,2006,RU,2006-ru
Karen Kavaleryan,lyricists,Olga Starikova,backings,2006,RU,2006-ru
Karen Kavaleryan,lyricists,Fokas Evangelinos,stageDirector,2006,RU,2006-ru
Olga Starikova,backings,Fokas Evangelinos,stageDirector,2006,RU,2006-ru
Hari Mata Hari,artist,Željko Joksimović,composers,2006,BA,2006-ba
Hari Mata Hari,artist,Fahrudin Pecikoza-Peca,lyricists,2006,BA,2006-ba
Hari Mata Hari,artist,Ksenija Milošević,backings,2006,BA,2006-ba
Željko Joksimović,composers,Fahrudin Pecikoza-Peca,lyricists,2006,BA,2006-ba
Željko Joksimović,composers,Ksenija Milošević,backings,2006,BA,2006-ba
Fahrudin Pecikoza-Peca,lyricists,Ksenija Milošević,backings,2006,BA,2006-ba
Mihai Traistariu,artist,Eduard Cîrcotă,composers,2006,RO,2006-ro
Mihai Traistariu,artist,Mihaela Deac,lyricists,2006,RO,2006-ro
Eduard Cîrcotă,composers,Mihaela Deac,lyricists,2006,RO,2006-ro
Carola,artist,Thomas G:son,composers,2006,SE,2006-se
Carola,artist,Thomas G:son,lyricists,2006,SE,2006-se
Carola,artist,Therese Löf,backings,2006,SE,2006-se
Thomas G:son,composers,Thomas G:son,lyricists,2006,SE,2006-se
Thomas G:son,composers,Therese Löf,backings,2006,SE,2006-se
Thomas G:son,lyricists,Therese Löf,backings,2006,SE,2006-se
LT United,artist,Saulius 'Samas' Urbonavičius,composers,2006,LT,2006-lt
LT United,artist,Viktoras Diawara,lyricists,2006,LT,2006-lt
Saulius 'Samas' Urbonavičius,composers,Viktoras Diawara,lyricists,2006,LT,2006-lt
Tina Karol,artist,Tina Karol,composers,2006,UA,2006-ua
Tina Karol,artist,Pavlo Shylko,lyricists,2006,UA,2006-ua
Tina Karol,composers,Pavlo Shylko,lyricists,2006,UA,2006-ua
André,artist,Armen Martirosyan,composers,2006,AM,2006-am
André,artist,Catherine Bekian,lyricists,2006,AM,2006-am
André,artist,Shprot,backings,2006,AM,2006-am
André,artist,Anush Hovnanyan,stageDirector,2006,AM,2006-am
Armen Martirosyan,composers,Catherine Bekian,lyricists,2006,AM,2006-am
Armen Martirosyan,composers,Shprot,backings,2006,AM,2006-am
Armen Martirosyan,composers,Anush Hovnanyan,stageDirector,2006,AM,2006-am
Catherine Bekian,lyricists,Shprot,backings,2006,AM,2006-am
Catherine Bekian,lyricists,Anush Hovnanyan,stageDirector,2006,AM,2006-am
Shprot,backings,Anush Hovnanyan,stageDirector,2006,AM,2006-am
Anna Vissi,artist,Nikos Karvelas,composers,2006,GR,2006-gr
Anna Vissi,artist,Anna Vissi,lyricists,2006,GR,2006-gr
Anna Vissi,artist,Mia Michaels,stageDirector,2006,GR,2006-gr
Nikos Karvelas,composers,Anna Vissi,lyricists,2006,GR,2006-gr
Nikos Karvelas,composers,Mia Michaels,stageDirector,2006,GR,2006-gr
Anna Vissi,lyricists,Mia Michaels,stageDirector,2006,GR,2006-gr
